gx,gy,gz,x,y,z
1,0,0,1,-64,-4
1,0,0,-1,-65,-4
1,0,0,0,-66,-4
0,0,-1,0,-65,-3
0,0,-1,1,-67,-3
0,0,-1,1,-67,-2
0,0,-1,0,-66,-2
0,0,-1,3,-66,-2
0,-1,-1,3,-65,-1
0,-1,0,1,-67,-1
0,-1,0,3,-68,-2
0,-1,-1,2,-69,-2
0,-1,-1,1,-69,-3
0,-1,-1,1,-69,-2
0,-2,0,2,-68,-1
1,-1,0,3,-69,-1
1,-1,0,2,-69,-1
1,-1,1,0,-66,1
1,-1,1,2,-67,1
2,-1,1,1,-66,2
2,-1,1,0,-63,4
1,-1,1,-1,-62,5
1,-1,0,-2,-63,5
0,-1,0,-3,-66,4
0,-1,0,-5,-65,5
0,-1,0,-4,-64,6
0,-1,0,-3,-66,5
0,-1,0,-5,-67,6
0,-1,0,-5,-66,6
0,-1,0,-4,-65,6
0,-1,0,-4,-66,7
0,-1,0,-4,-66,6
0,-1,0,-4,-66,6
-1,-1,0,-4,-66,6
-1,-1,-1,-5,-66,6
-1,-1,-1,-5,-65,6
-1,-1,-1,-4,-67,6
-1,-2,-1,-4,-66,5
-1,-2,-1,-4,-66,5
-1,-2,-1,-4,-65,5
-2,-3,-1,-3,-67,5
-2,-2,-1,-3,-69,4
-1,-2,-1,-2,-67,4
-1,-2,-1,-2,-68,4
-1,-2,-1,-3,-67,3
-1,-2,-1,-2,-67,3
-1,-2,-1,-2,-66,3
-1,-2,0,-1,-65,3
-2,-2,0,-1,-65,3
-2,-2,-1,-1,-65,2
-2,-2,-1,-1,-66,1
-2,-2,-1,-3,-67,1
-2,-2,-1,-3,-65,1
-1,-2,0,-3,-65,0
-2,-2,0,-3,-66,0
-1,-2,0,-3,-66,0
-1,-2,-1,-3,-66,0
-1,-2,-1,-3,-66,0
-1,-2,-1,-3,-65,0
-2,-2,-1,-2,-66,-1
-2,-2,-1,-1,-67,-2
-1,-1,-1,-2,-66,-2
-1,-1,-1,-1,-66,-2
-1,-1,-1,-1,-66,-3
-1,-1,-1,0,-67,-3
-1,-1,-1,-1,-66,-3
-1,-1,-1,-1,-66,-3
-1,-1,0,-1,-67,-3
-1,-1,0,-1,-67,-4
