gx,gy,gz,x,y,z
-2,0,-1,61,-11,10
-2,0,-1,60,-13,10
-2,0,-1,63,-13,10
-2,0,-1,63,-12,11
-2,0,-1,63,-11,10
-3,-1,-1,63,-11,10
-3,0,-1,62,-11,10
-3,0,-1,63,-12,10
-3,0,-1,62,-12,10
-3,0,-1,61,-11,10
-3,0,-1,62,-12,10
-3,0,-1,62,-12,9
-3,0,-1,62,-13,10
-2,0,-1,62,-13,10
-2,0,0,62,-12,10
-2,0,0,62,-11,11
-2,0,-1,63,-12,10
-2,0,-1,62,-12,10
-2,0,-1,61,-11,9
-2,0,-1,62,-12,10
-2,0,-1,62,-12,10
-2,0,-1,61,-12,10
-2,0,-1,62,-12,10
-2,0,-1,63,-12,10
-2,0,-1,62,-11,10
-2,0,-1,62,-12,11
-2,0,-1,62,-11,11
-2,0,-1,62,-10,11
-3,0,-1,63,-12,10
-3,0,-1,63,-12,9
-3,0,-1,62,-12,11
-3,0,-1,61,-13,13
-2,0,-1,62,-11,12
-2,0,-1,62,-11,11
-2,0,-1,62,-12,11
-2,0,-1,62,-11,11
-2,0,-1,63,-11,12
-2,0,-1,63,-11,12
-2,-1,0,62,-11,11
-2,-1,-1,62,-11,10
-2,-1,-1,63,-12,10
-2,0,0,63,-11,11
-2,0,0,62,-13,11
-2,0,0,61,-13,10
-1,0,0,61,-12,11
-2,0,0,62,-12,11
-2,0,0,61,-12,11
-2,0,-1,62,-11,12
-2,0,-1,62,-12,12
-2,0,-1,60,-12,12
-2,0,-1,62,-12,12
-2,0,-1,62,-12,13
-2,0,-1,62,-12,12
-3,0,-1,61,-12,12
-3,0,-1,61,-15,11
-2,0,-1,62,-12,11
-2,0,-1,62,-10,14
-3,0,-1,61,-12,13
-3,0,-1,61,-11,13
-3,0,-1,61,-12,13
-3,0,-1,62,-12,12
-3,0,-1,62,-13,12
-3,0,-1,62,-11,13
-3,0,-1,63,-10,13
-4,0,-1,62,-13,12
-3,0,-1,62,-12,10
-3,0,-1,61,-13,11
-3,0,-1,63,-11,12
